gene	tss	aaa	length
1700013N06Rik	106804241	106845100	40859
1700014B07Rik	6327074	6327891	817
1700014D04Rik	59888656	59894566	5910
1700014F14Rik	61098281	61102992	4711
1700014L14Rik	18369539	18384354	14815
1700015C15Rik	64575594	64580216	4622
1700015C17Rik	153172853	153183847	10994
1700015G11Rik	51661431	51665476	4045
1700015H07Rik	53485051	53486666	1615
1700015I17Rik	36174814	36187103	12289
1700015O11Rik	113608610	113610105	1495
1700016A09Rik	121263631	121264465	834
1700016B01Rik	112304103	112313110	9007
1700016B15Rik	118339672	118340404	732
1700016C15Rik	177557380	177580890	23510
1700016D06Rik	11704924	11751063	46139
1700016D08Rik	3726689	3727056	367
1700016F12Rik	96997364	97000797	3433
1700016G22Rik	5905507	5908091	2584
1700016H03Rik	45351652	45352088	436
1700016H13Rik	103795905	103803876	7971
1700016J18Rik	41894212	41894806	594
1700016K05Rik	67021449	67027480	6031
1700016K19Rik	75890738	75894395	3657
1700016L21Rik	80423649	80457584	33935
1700016P03Rik	75063386	75068459	5073
1700016P04Rik	13413336	13415995	2659
1700017B05Rik	57160400	57169895	9495
1700017G19Rik	40559016	40577061	18045
1700017I07Rik	89684923	89688108	3185
1700017J07Rik	168820188	168820826	638
1700017L05Rik	77613335	77616698	3363
1700017M07Rik	35310611	35330280	19669
1700017N19Rik	100426346	100454263	27917
1700018A04Rik	31749475	31809775	60300
1700018A14Rik	46332088	46332798	710
1700018A23Rik	126799340	126802140	2800
1700018B08Rik	122257519	122271059	13540
1700018B24Rik	48560167	48563537	3370
1700018F24Rik	144979800	144982491	2691
1700018G05Rik	101971978	101972700	722
1700018L02Rik	29023645	29026129	2484
1700018M17Rik	59549154	59549625	471
1700018P08Rik	117083800	117086289	2489
1700019A02Rik	53197736	53226795	29059
1700019A23Rik	30239091	30239286	195
1700019C18Rik	35368353	35396031	27678
1700019D03Rik	52961483	53059338	97855
1700019E08Rik	45586617	45588459	1842
1700019F05Rik	74070239	74077764	7525
1700019G24Rik	5963909	5977393	13484
1700019J19Rik	14000916	14029597	28681
1700019L13Rik	119812212	119817158	4946
1700019M22Rik	96013541	96013894	353
1700019N19Rik	58774235	58782893	8658
1700019P21Rik	138804010	138804689	679
1700020A23Rik	130247179	130247994	815
1700020D12Rik	26622107	26652308	30201
1700020D14Rik	206151	207788	1637
1700020G03Rik	70940831	70941719	888
1700020G17Rik	110620446	110732411	111965
1700020L13Rik	29979519	29989662	10143
1700020L24Rik	83328503	83332059	3556
1700020M21Rik	120742840	120744318	1478
1700020N01Rik	21469044	21498275	29231
1700020N15Rik	68988906	68989584	678
1700020N18Rik	91332601	91333751	1150
1700021A07Rik	21295257	21302464	7207
1700021F02Rik	103494460	103496165	1705
1700021F07Rik	173364379	173370294	5915
1700021F13Rik	119943394	119945934	2540
1700021G15Rik	126090986	126093087	2101
1700021J08Rik	116859363	116860209	846
1700021L23Rik	124196630	124205254	8624
1700021N21Rik	134176077	134177482	1405
1700021P04Rik	24042157	24043816	1659
1700022A21Rik	24850451	24853858	3407
1700022A22Rik	46187955	46237303	49348
1700022E09Rik	59283272	59289601	6329
1700022H01Rik	61510568	61516034	5466
1700022H16Rik	9615236	9620585	5349
1700022I11Rik	42969604	42983640	14036
1700022N22Rik	26204782	26210004	5222
1700023B13Rik	29312390	29313435	1045
1700023C21Rik	109736704	109739302	2598
1700023F02Rik	65956384	66090002	133618
1700023G09Rik	186659130	186662309	3179
1700023H06Rik	81032343	81033643	1300
1700024B05Rik	41765952	41825778	59826
1700024B18Rik	124225047	124253096	28049
1700024G13Rik	32098025	32110348	12323
1700024I08Rik	63823570	63882112	58542
1700024J04Rik	49477468	49479289	1821
1700025A08Rik	67764561	67765169	608
1700025B11Rik	77442439	77446092	3653
1700025C18Rik	164920613	164932670	12057
1700025D23Rik	113982232	113986162	3930
1700025F24Rik	119249349	119262769	13420
1700025G04Rik	151728154	151965876	237722
1700025H01Rik	30013889	30019117	5228
1700025J12Rik	121189126	121190814	1688
1700025K04Rik	126207844	126210931	3087
1700025K24Rik	54659611	54677102	17491
1700025L06Rik	45995195	45998797	3602
1700025M24Rik	73425924	73441530	15606
1700025N21Rik	82974984	82977872	2888
1700025N23Rik	39040812	39044532	3720
1700025O08Rik	22928167	22938435	10268
1700026D11Rik	132332554	132365977	33423
1700026F02Rik	71400890	71538402	137512
1700026J12Rik	49031004	49076135	45131
1700026J14Rik	48513516	48514408	892
1700026N04Rik	47259895	47262995	3100
1700027A07Rik	78796166	78797860	1694
1700027A15Rik	73024003	73064666	40663
1700027F06Rik	124340260	124341478	1218
1700027F09Rik	64612156	64625286	13130
1700027H10Rik	45371019	45393745	22726
1700027I24Rik	36580152	36604485	24333
1700027J07Rik	43621805	43641832	20027
1700028B04Rik	28191975	28197138	5163
1700028D13Rik	112354629	112357870	3241
1700028E10Rik	151292140	151355583	63443
1700028I16Rik	82647957	82660076	12119
1700028J19Rik	43879235	43896119	16884
1700028K03Rik	107682575	107699408	16833
1700028M03Rik	83462670	83481429	18759
1700028N14Rik	103155686	103158571	2885
1700028P14Rik	23536117	23630176	94059
1700028P15Rik	171798799	171804744	5945
1700029B22Rik	130748168	130752309	4141
1700029B24Rik	10306872	10307368	496
1700029E06Rik	58610382	58612635	2253
1700029F12Rik	97158372	97170870	12498
1700029H14Rik	13600733	13612461	11728
1700029I15Rik	92212883	92216053	3170
1700029J03Rik	93188565	93255760	67195
1700029J07Rik	46406643	46428477	21834
1700029M03Rik	164788490	164790394	1904
1700029M20Rik	135353966	135357509	3543
1700029N11Rik	44593188	44622506	29318
1700030A11Rik	29124239	29125745	1506
1700030C10Rik	20854382	20865780	11398
1700030C12Rik	23447753	23449661	1908
1700030C14Rik	152494803	152496250	1447
1700030E10Rik	67544418	67553869	9451
1700030F04Rik	117623654	117728730	105076
1700030I03Rik	83168988	83169929	941
1700030J22Rik	117696333	117705698	9365
1700030K09Rik	73197724	73214845	17121
1700030L20Rik	136141031	136155110	14079
1700030L22Rik	53350135	53356629	6494
1700030M09Rik	122271121	122275081	3960
1700030N03Rik	3103071	3247732	144661
1700030N18Rik	134119325	134120290	965
1700030O20Rik	116558972	116565082	6110
1700031A10Rik	37234684	37244324	9640
1700031F05Rik	101902792	101911577	8785
1700031F10Rik	88199584	88202660	3076
1700031L13Rik	82270255	82272560	2305
1700031M16Rik	98296300	98314149	17849
1700031P21Rik	52646764	52649105	2341
1700034B16Rik	75914103	75915374	1271
1700034E13Rik	52779281	52796805	17524
1700034G24Rik	112730802	112737862	7060
1700034H15Rik	191618242	191639639	21397
1700034I23Rik	40854631	40856978	2347
1700034J04Rik	11271462	11272211	749
1700034J05Rik	146851827	146855920	4093
1700034K08Rik	92861967	92887792	25825
1700034P13Rik	9817873	9862149	44276
1700036A12Rik	60650403	60677558	27155
1700036G14Rik	85224826	85239337	14511
1700036O09Rik	66501802	66502809	1007
1700037C06Rik	136844020	136844893	873
1700037C18Rik	3713043	3726553	13510
1700037F03Rik	75848281	75855291	7010
1700037H04Rik	130988244	131002001	13757
1700039E22Rik	44816932	44824377	7445
1700039I01Rik	63287180	63287658	478
1700039M10Rik	57809071	57809825	754
1700039M15Rik	107118419	107121196	2777
1700040D17Rik	94316702	94320226	3524
1700040E09Rik	88599039	88632169	33130
1700040F15Rik	61110775	61142787	32012
1700040F17Rik	55299511	55302416	2905
1700040K01Rik	152812355	152812792	437
1700040L08Rik	71520176	71521098	922
1700041B01Rik	78554985	78560314	5329
1700041C23Rik	57082559	57093392	10833
1700041G16Rik	23295782	23299553	3771
1700041I07Rik	146732728	146743243	10515
1700041M05Rik	125122390	125135845	13455
1700041M19Rik	76616471	76807785	191314
1700042D02Rik	48962635	48966765	4130
1700042G15Rik	57360868	57364292	3424
1700042O05Rik	51543085	51551927	8842
1700042O10Rik	11818123	11835321	17198
1700044C05Rik	118603290	118635582	32292
1700044K03Rik	49656356	49657507	1151
1700045H11Rik	150912682	150939406	26724
1700045I11Rik	42170845	42171337	492
1700046C09Rik	14510355	14549225	38870
1700047A11Rik	26572637	26586550	13913
1700047E10Rik	44429064	44450694	21630
1700047F07Rik	107546898	107616182	69284
1700047G03Rik	11964362	11970172	5810
1700047G07Rik	97238968	97240607	1639
1700047K16Rik	58213814	58215265	1451
1700047L14Rik	108911708	108916780	5072
1700047M11Rik	182115555	182130890	15335
1700047N06Rik	10127250	10128169	919
1700047O18Rik	12514787	12515529	742
1700048F04Rik	126005834	126029694	23860
1700048M11Rik	92105604	92109356	3752
1700048O14Rik	26015816	26023831	8015
1700048O20Rik	121766289	121776082	9793
1700048P04Rik	68738633	68740330	1697
1700049E15Rik	147591739	147603872	12133
1700049E17Rik1	41746906	41754998	8092
1700049E17Rik2	41295168	41303262	8094
1700049E22Rik	100504361	100510387	6026
1700049L16Rik	71815922	71816464	542
1700051A21Rik	72157247	72159401	2154
1700051K13Rik	134222634	134223329	695
1700051O22Rik	86159315	86159952	637
1700052H01Rik	41308582	41348024	39442
1700052I22Rik	80970206	80971223	1017
1700052K11Rik	105068552	105072259	3707
1700054A03Rik	53022079	53072947	50868
1700054K02Rik	92500096	92500471	375
1700054K19Rik	112187669	112189480	1811
1700054M17Rik	118135395	118138647	3252
1700054O05Rik	35354823	35361392	6569
1700054O19Rik	25706830	25707697	867
1700055C04Rik	63945747	63948747	3000
1700055D18Rik	45011687	45015406	3719
1700056E22Rik	183765227	183766498	1271
1700056N10Rik	16865384	16866975	1591
1700057G04Rik	92191430	92239929	48499
1700057H15Rik	124308209	124379752	71543
1700057H21Rik	51310996	51328797	17801
1700058P15Rik	18992417	18993664	1247
1700060C16Rik	143539079	143597014	57935
1700060C20Rik	158033928	158037669	3741
1700060J05Rik	53562983	53564697	1714
1700060O08Rik	54108831	54126175	17344
1700061A03Rik	5538772	5539226	454
1700061E17Rik	110815269	110816872	1603
1700061E18Rik	41954259	41955271	1012
1700061F12Rik	9194326	9202288	7962
1700061H18Rik	70076391	70102680	26289
1700061I17Rik	116854171	116871414	17243
1700061J23Rik	23102140	23116375	14235
1700061N14Rik	48264759	48271256	6497
1700062C10Rik	6432492	6469995	37503
1700063A18Rik	95918384	95949483	31099
1700063D05Rik	41103742	41129286	25544
1700063H04Rik	122368338	122369646	1308
1700063H06Rik	82142346	82145538	3192
1700063I16Rik	168502841	168503451	610
1700063J08Rik	29170829	29171382	553
1700063K16Rik	76616473	76638672	22199
1700063O14Rik	91914101	91915159	1058
1700064H15Rik	19664532	19682841	18309
1700064J06Rik	118928810	118939012	10202
1700064M15Rik	99592312	99594233	1921
1700065D16Rik	95737471	95740375	2904
1700065I16Rik	63689037	63693242	4205
1700065J11Rik	35307781	35313760	5979
1700065J18Rik	192523969	192525048	1079
1700065L07Rik	73413969	73448004	34035
1700065O20Rik	49936393	49951025	14632
1700066B17Rik	39878335	39886494	8159
1700066B19Rik	35836278	35863922	27644
1700066C05Rik	79796264	79797434	1170
1700066J03Rik	58294763	58297506	2743
1700066M21Rik	57416779	57424582	7803
1700066N21Rik	88056438	88127210	70772
1700066O22Rik	57637494	57666824	29330
1700067G17Rik	88943835	88949932	6097
1700067K01Rik	84728131	84731399	3268
1700067P10Rik	48399839	48401438	1599
1700069B07Rik	121306298	121307236	938
1700069L16Rik	113830483	113862833	32350
1700069P05Rik	118223656	118225413	1757
1700071G01Rik	73314357	73315227	870
1700071K01Rik	81463481	81464299	818
1700071M16Rik	43899231	43903333	4102
1700072B07Rik	58277787	58281466	3679
1700072G22Rik	51497091	51498090	999
1700072O05Rik	120531757	120539840	8083
1700073E17Rik	145333322	145347905	14583
1700074A21Rik	37338433	37338778	345
1700074H08Rik	120141576	120143124	1548
1700080C20Rik	25979176	25979496	320
1700080N15Rik	4136874	4145952	9078
1700081B01Rik	126783978	126813316	29338
1700081H04Rik	119246299	119252608	6309
1700081N11Rik	54909432	54910452	1020
1700082M22Rik	105368439	105385190	16751
1700083H02Rik	71429928	71430982	1054
1700084C06Rik	21003051	21039689	36638
1700084D21Rik	113272617	113280546	7929
1700084E18Rik	30126807	30128235	1428
1700084F23Rik	70152169	70176467	24298
1700084J12Rik	33404131	33406122	1991
1700084M14Rik	90618816	90619517	701
1700085C21Rik	82979294	82985929	6635
1700085D07Rik	73121395	73135969	14574
1700086D15Rik	65042736	65050717	7981
1700086L19Rik	74331016	74342719	11703
1700086O06Rik	38371458	38383618	12160
1700086P04Rik	128943890	128951776	7886
1700087I21Rik	103662341	103687303	24962
1700087M22Rik	30492638	30499961	7323
1700088E04Rik	79013549	79025453	11904
1700091H14Rik	41911707	41917234	5527
1700092C02Rik	78350801	78355586	4785
1700092C10Rik	69402246	69409306	7060
1700092C17Rik	22645996	22652285	6289
1700092E16Rik	84334738	84335490	752
1700092E19Rik	26467133	26496389	29256
1700092K14Rik	114089084	114090025	941
1700092M07Rik	8718082	8718589	507
1700093J21Rik	95883876	95890270	6394
1700093K21Rik	23466203	23471155	4952
1700094D03Rik	89970103	89975654	5551
1700094J05Rik	76224849	76237341	12492
1700094M23Rik	152868365	152888452	20087
1700094M24Rik	52469436	52477071	7635
1700095A13Rik	83093433	83126015	32582
1700095A21Rik	146603496	146631330	27834
1700095B10Rik	112941158	112949567	8409
1700095J03Rik	109037825	109044100	6275
1700095J07Rik	30304604	30331778	27174
1700095J12Rik	137864906	137865829	923
1700095K22Rik	3984149	3985876	1727
1700096J18Rik	109237665	109244477	6812
1700096K18Rik	25735011	25736464	1453
1700097M23Rik	81870799	81872320	1521
1700097N02Rik	30841415	30845879	4464
1700099I09Rik	102896763	102898404	1641
1700100I10Rik	115177659	115183380	5721
1700100L14Rik	70721360	70724229	2869
1700101I11Rik	129508913	129510780	1867
1700101I19Rik	34618283	34618792	509
1700101O22Rik	7422039	7430330	8291
1700102F20Rik	140254797	140255466	669
1700102H20Rik	3608099	3610137	2038
1700102P08Rik	108270004	108288133	18129
1700104B16Rik	34220562	34221847	1285
1700104L18Rik	54280401	54289106	8705
1700105G05Rik	90936723	90938292	1569
1700105P06Rik	7359902	7360926	1024
1700106O07Rik	80119142	80121121	1979
1700108F19Rik	76910403	76924609	14206
1700108J01Rik	122467317	122471066	3749
1700108N06Rik	11450179	11465171	14992
1700108N11Rik	144173379	144174559	1180
1700109G14Rik	61530429	61555595	25166
1700109G15Rik	84607802	84611258	3456
1700109H08Rik	3621566	3634356	12790
1700109I08Rik	39377620	39407250	29630
1700109K24Rik	76968598	76980514	11916
1700110C19Rik	10543531	10548236	4705
1700110I01Rik	19163941	19207433	43492
1700110I07Rik	40710041	40739267	29226
1700110K17Rik	40234722	40254860	20138
1700111E14Rik	36913983	36962719	48736
1700111N16Rik	68972865	69187194	214329
1700112D23Rik	28756816	28835257	78441
1700112H15Rik	184260038	184289888	29850
1700112J05Rik	77154296	77166710	12414
1700112J16Rik	66853830	66872284	18454
1700112K13Rik	127704431	127705966	1535
1700112L15Rik	96278421	96278930	509
1700112M02Rik	71635726	71760828	125102
1700113A16Rik	88078863	88085092	6229
1700113B09Rik	71016866	71040317	23451
1700113B19Rik	138189380	138189799	419
1700113H08Rik	86893909	87066451	172542
1700116B05Rik	50603772	50604454	682
1700116H05Rik	88601933	88614315	12382
1700119H24Rik	34756224	34759699	3475
1700119I11Rik	92009551	92010163	612
1700120B22Rik	63078847	63079932	1085
1700120C14Rik	99147392	99159925	12533
1700120C18Rik	88226677	88227859	1182
1700120E14Rik	74658211	74664195	5984
1700120G07Rik	134793493	134797731	4238
1700120G11Rik	14219496	14237450	17954
1700120K04Rik	127203072	127203617	545
1700120O09Rik	67562343	67573377	11034
1700121C08Rik	123727415	123753306	25891
1700121L03Rik	125118019	125125192	7173
1700121L16Rik	103860382	103886061	25679
1700121N20Rik	106408912	106413925	5013
1700122C19Rik	37453701	37460282	6581
1700122D07Rik	59573970	59576388	2418
1700122E12Rik	85573817	85575044	1227
1700122H20Rik	7163339	7169117	5778
1700122O11Rik	48347554	48349102	1548
1700123J17Rik	125823419	125847410	23991
1700123K08Rik	138560102	138562974	2872
1700123L14Rik	96141478	96143224	1746
1700123M08Rik	11966565	11994280	27715
1700123O12Rik	10479962	10797811	317849
1700123O20Rik	54923673	54928198	4525
1700123O21Rik	5793449	5816360	22911
1700124L16Rik	83738738	83739847	1109
1700124M09Rik	18962278	18962926	648
1700125G02Rik	124784681	124788575	3894
1700125G22Rik	27208175	27211168	2993
1700125H03Rik	68821086	68828362	7276
1700125H20Rik	85061230	85071971	10741
1700126A01Rik	57166499	57168559	2060
1700126G02Rik	143147123	143167174	20051
1700126H18Rik	66323950	66348679	24729
1700127F24Rik	112838831	112839434	603
1700128A07Rik	106654621	106723954	69333
1700128E19Rik	11763264	11772620	9356
1700128F08Rik	8221890	8241988	20098
1700128I11Rik	48598035	48600072	2037
1700129C05Rik	59370489	59380342	9853
1700129L04Rik	94995423	95060275	64852
1810006J02Rik	98059181	98072380	13199
1810007C17Rik	49523774	49527645	3871
1810007D17Rik	58594761	58618185	23424
1810008B01Rik	125031871	125033246	1375
1810008I18Rik	65452859	65456197	3338
1810009A15Rik	8866217	8868245	2028
1810009J06Rik	40941688	40945369	3681
1810010H24Rik	106916507	106921269	4762
1810010K12Rik	19456639	19459806	3167
1810012K08Rik	26028558	26029555	997
1810012K16Rik	22888737	22889612	875
1810013D15Rik	157630857	157643992	13135
1810013L24Rik	8647964	8676786	28822
1810014B01Rik	86521389	86530670	9281
1810014P07Rik	29936046	29938127	2081
1810017P11Rik	115113515	115114072	557
1810018F18Rik	58687349	58704202	16853
1810019D21Rik	106862032	106865157	3125
1810019N24Rik	12682519	12695695	13176
1810020O05Rik	87652572	87699783	47211
1810021B22Rik	88955399	88960055	4656
1810024B03Rik	127028275	127050200	21925
1810028F09Rik	51380327	51381574	1247
1810030O07Rik	12521118	12539907	18789
1810034E14Rik	64396514	64419666	23152
1810035K13Rik	58683953	58684609	656
1810037I17Rik	122717852	122719833	1981
1810041H14Rik	122114137	122116821	2684
1810044D09Rik	91417969	91418737	768
1810044K17Rik	93165127	93165917	790
1810046K07Rik	51200986	51240224	39238
1810049I09Rik	64862562	64863177	615
1810049J17Rik	12321524	12321985	461
1810053B23Rik	93139392	93163556	24164
1810055G02Rik	3758293	3767881	9588
1810058I24Rik	35229589	35240431	10842
1810058N15Rik	5610288	5611705	1417
1810059C17Rik	18059004	18061424	2420
1810059H22Rik	148890558	148906932	16374
1810062G17Rik	36530086	36536448	6362
1810062O18Rik	20596147	20620755	24608
1810063I02Rik	59812325	59812715	390
1810064F22Rik	22108259	22125156	16897
1810065E05Rik	58311937	58316850	4913
1810073O08Rik	84225366	84229035	3669
2010001A14Rik	57686325	57692243	5918
2010001K21Rik	47133384	47164671	31287
2010001M07Rik	60241425	60242251	826
2010003K11Rik	4546816	4548611	1795
2010007H06Rik	51189813	51195510	5697
2010008C14Rik	125060400	125060992	592
2010009K17Rik	157912287	157933717	21430
2010010A06Rik	75421726	75430400	8674
2010013B24Rik	145248878	145254677	5799
2010016I18Rik	106389298	106393229	3931
2010103J01Rik	185044384	185046000	1616
2010106C02Rik	86592592	86594606	2014
2010106E10Rik	111404971	111468040	63069
2010106G04Rik	29833434	29833744	310
2010109A12Rik	93354377	93361334	6957
2010109P13Rik	100120384	100120775	391
2010110E17Rik	87612316	87613194	878
2010110G14Rik	130632104	130730986	98882
2010110K18Rik	34884862	34891738	6876
2010203P06Rik	56743350	56744455	1105
2010204K13Rik	7278056	7311382	33326
2010308F09Rik	13100880	13113975	13095
2010309G21Rik	18870117	18925499	55382
2010310C07Rik	42347605	42358149	10544
2010315B03Rik	124054434	124075326	20892
2010320M18Rik	71229459	71230467	1008
2010320O07Rik	38342825	38362198	19373
2200002A13Rik	127496740	127497448	708
2200002D01Rik	28945986	28947891	1905
2200002J24Rik	30398351	30399961	1610
2200007N16Rik	24366158	24366395	237
2210009P08Rik	97267684	97268148	464
2210010C04Rik	41007202	41012443	5241
2210011K15Rik	121282845	121287629	4784
2210016F16Rik	58527631	58533039	5408
2210016L21Rik	115080217	115087842	7625
2210017I01Rik	92512025	92514799	2774
2210020O09Rik	32273416	32274967	1551
2210039B01Rik	73595252	73598760	3508
2210404E10Rik	10662157	10662922	765
2210406H18Rik	120662075	120663182	1107
2210406O10Rik	36604955	36622197	17242
2210408F21Rik	31197286	31314339	117053
2210408I21Rik	77283659	77761903	478244
2210409D07Rik	57765151	57771657	6506
2210409E12Rik	88863483	88863828	345
2210411M09Rik	180779629	180785714	6085
2210412B16Rik	130160168	130160665	497
2210414B05Rik	3656508	3663108	6600
2210414F02Rik	69980205	69980725	520
2210417A02Rik	148678650	148679949	1299
2210418O10Rik	175968362	175982121	13759
2210420H20Rik	82772630	82777166	4536
2300002M23Rik	35878347	35879849	1502
