DB Class Key	Common Organism Name	NCBI Taxon ID	Symbol	EntrezGene ID	Mouse MGI ID	HGNC ID	OMIM Gene ID	Genetic Location	Genome Coordinates (mouse: GRCm39 human: GRCh38)	Nucleotide RefSeq IDs	Protein RefSeq IDs	SWISS_PROT IDs
51297613	human	9606	HSD3B1	3283		HGNC:5217	OMIM:109715	Chr1 p12	Chr1:119507198-119515058(+)	NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615	NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853	P14060,P14060,P14060,P14060,P14060,P14060,P14060,P14060
51297613	human	9606	HSD3B2	3284		HGNC:5218	OMIM:613890	Chr1 p12	Chr1:119413725-119423035(+)	NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120	NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189	P26439,P26439,P26439,P26439,P26439,P26439,P26439,P26439
51297614	mouse, laboratory	10090	Hsd3b5	15496	MGI:104645			Chr3 42.82 cM	Chr3:98525950-98537568(-)	NM_008295	NP_032321	Q61694
51297614	human	9606	HSD3B1	3283		HGNC:5217	OMIM:109715	Chr1 p12	Chr1:119507198-119515058(+)	NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615	NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853	P14060,P14060,P14060,P14060,P14060,P14060,P14060,P14060
51297614	human	9606	HSD3B2	3284		HGNC:5218	OMIM:613890	Chr1 p12	Chr1:119413725-119423035(+)	NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120	NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189	P26439,P26439,P26439,P26439,P26439,P26439,P26439,P26439
51297615	mouse, laboratory	10090	Hsd3b1	15492	MGI:96233			Chr3 42.89 cM	Chr3:98759510-98767110(-)	NM_008293,XM_006501036,NM_001304800	XP_006501099,NP_001291729,NP_032319	P24815
51297615	human	9606	HSD3B1	3283		HGNC:5217	OMIM:109715	Chr1 p12	Chr1:119507198-119515058(+)	NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615	NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853	P14060,P14060,P14060,P14060,P14060,P14060,P14060,P14060
51297615	human	9606	HSD3B2	3284		HGNC:5218	OMIM:613890	Chr1 p12	Chr1:119413725-119423035(+)	NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120	NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189	P26439,P26439,P26439,P26439,P26439,P26439,P26439,P26439
51297616	mouse, laboratory	10090	Hsd3b2	15493	MGI:96234			Chr3 42.85 cM	Chr3:98618423-98631859(-)	NM_153193,NM_001359741,XM_011240025	XP_011238327,NP_694873,NP_001346670	P26149
51297616	human	9606	HSD3B1	3283		HGNC:5217	OMIM:109715	Chr1 p12	Chr1:119507198-119515058(+)	NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615	NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853	P14060,P14060,P14060,P14060,P14060,P14060,P14060,P14060
51297616	human	9606	HSD3B2	3284		HGNC:5218	OMIM:613890	Chr1 p12	Chr1:119413725-119423035(+)	NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120	NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189	P26439,P26439,P26439,P26439,P26439,P26439,P26439,P26439
51297617	mouse, laboratory	10090	Hsd3b6	15497	MGI:109598			Chr3 42.88 cM	Chr3:98712820-98721759(-)	NM_013821	NP_038849	O35469
51297617	human	9606	HSD3B1	3283		HGNC:5217	OMIM:109715	Chr1 p12	Chr1:119507198-119515058(+)	NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615	NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853	P14060,P14060,P14060,P14060,P14060,P14060,P14060,P14060
51297617	human	9606	HSD3B2	3284		HGNC:5218	OMIM:613890	Chr1 p12	Chr1:119413725-119423035(+)	NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120	NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189	P26439,P26439,P26439,P26439,P26439,P26439,P26439,P26439
51297618	mouse, laboratory	10090	Hsd3b4	15495	MGI:96236			Chr3 42.79 cM	Chr3:98406387-98417830(-)	NM_008294,XM_017319468,NM_001111336	XP_017174957,NP_032320,NP_001104806	Q61767
51297618	human	9606	HSD3B1	3283		HGNC:5217	OMIM:109715	Chr1 p12	Chr1:119507198-119515058(+)	NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615	NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853	P14060,P14060,P14060,P14060,P14060,P14060,P14060,P14060
51297618	human	9606	HSD3B2	3284		HGNC:5218	OMIM:613890	Chr1 p12	Chr1:119413725-119423035(+)	NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120	NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189	P26439,P26439,P26439,P26439,P26439,P26439,P26439,P26439
51297619	mouse, laboratory	10090	Hsd3b3	15494	MGI:96235			Chr3 42.86 cM	Chr3:98648839-98670443(-)	XM_017319466,XM_131133,NM_001161744,NM_001161743,NM_001161742,NM_001161745,XM_006501042	NP_001155214,NP_001012306,XP_017174955,XP_006501105,NP_001155215,NP_001155216,NP_001155217	P26150
51297619	human	9606	HSD3B1	3283		HGNC:5217	OMIM:109715	Chr1 p12	Chr1:119507198-119515058(+)	NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615,NM_000862,NM_001328615	NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853,NP_001315544,NP_000853	P14060,P14060,P14060,P14060,P14060,P14060,P14060,P14060
51297619	human	9606	HSD3B2	3284		HGNC:5218	OMIM:613890	Chr1 p12	Chr1:119413725-119423035(+)	NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120,NM_000198,NM_001166120	NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189,NP_001159592,NP_000189	P26439,P26439,P26439,P26439,P26439,P26439,P26439,P26439
51297620	mouse, laboratory	10090	Mpst	246221	MGI:2179733			Chr15 37.47 cM	Chr15:78290918-78298213(+)	NM_001162492,NM_001416059,NM_001416057,NM_001416058,NM_001162493,NM_138670,NM_001416060,NM_001416061	NP_001402989,NP_001402987,NP_001155965,NP_001402986,NP_619611,NP_001155964,NP_001402990,NP_001402988	Q99J99
51297620	human	9606	MPST	4357		HGNC:7223	OMIM:602496	Chr22 q12.3	Chr22:37019635-37029822(+)	NM_001369904,NM_021126,NM_001369905,NM_001130517,NM_001013440,NM_001013436	XP_054181618,XP_054181617,XP_047297333,NP_001013454,NP_001123989,NP_001356833,NP_001356834,NP_066949,XP_047297332	P25325
51297621	mouse, laboratory	10090	Tst	22117	MGI:98852			Chr15 37.47 cM	Chr15:78283756-78290065(-)	NM_009437	NP_033463	P52196
51297621	human	9606	TST	7263		HGNC:12388	OMIM:180370	Chr22 q12.3	Chr22:37010859-37024797(-)	NM_003312,NM_001270483	NP_003303,NP_001257412	Q16762
51297622	mouse, laboratory	10090	Hs3st1	15476	MGI:1201606			Chr5 21.14 cM	Chr5:39771278-39802791(-)	NM_001421580,NM_001421581,NM_010474	NP_001408510,NP_001408509,NP_034604	O35310
51297622	human	9606	HS3ST1	9957		HGNC:5194	OMIM:603244	Chr4 p15.33	Chr4:11393150-11434327(-)	NM_005114	NP_005105,XP_054207323,XP_011512215	O14792
51297623	mouse, laboratory	10090	Hs3st2	195646	MGI:1333802			Chr7 65.07 cM	Chr7:120991082-121100993(+)	XM_006507464,XM_030242241,XM_030242240,XM_036152800,NM_001419197,NM_001081327,XM_112440,XM_036152802,XM_006507466,XM_036152801	XP_006507529,XP_030098100,XP_036008695,XP_036008693,XP_036008694,NP_001074796,XP_030098101,XP_006507527,NP_001406126	Q673U1
51297623	human	9606	HS3ST2	9956		HGNC:5195	OMIM:604056	Chr16 p12.2	Chr16:22814162-22916338(+)	NM_006043	NP_006034,XP_011544303,XP_054170535	Q9Y278
51297624	mouse, laboratory	10090	Hs3st3b1	54710	MGI:1333853			Chr11 39.47 cM	Chr11:63776618-63813116(-)	NM_018805,XM_030246160	NP_061275,XP_030102020	Q9QZS6
51297624	human	9606	HS3ST3B1	9953		HGNC:5198	OMIM:604058	Chr17 p12	Chr17:14301081-14349404(+)	NM_006041	XP_016880968,NP_006032	Q9Y662
51297625	mouse, laboratory	10090	Hs3st3a1	15478	MGI:1333861			Chr11 40.24 cM	Chr11:64326158-64413667(+)	XM_030245593,NM_178870,XM_036156345	XP_030101453,XP_036012238,NP_849201	Q8BKN6
51297625	human	9606	HS3ST3A1	9955		HGNC:5196	OMIM:604057	Chr17 p12	Chr17:13494032-13601929(-)	NM_006042	XP_054174073,XP_047293184,XP_016880969,XP_011522416,NP_006033,XP_054174074	Q9Y663
51297626	mouse, laboratory	10090	Hs3st4	628779	MGI:1333792			Chr7 67.56 cM	Chr7:123582092-123998212(+)	XM_006508104,XM_030242862,XM_030242860,NM_001252072	NP_001239001,XP_030098722,XP_006508167,XP_030098720	
51297626	human	9606	HS3ST4	9951		HGNC:5200	OMIM:604059	Chr16 p12.1	Chr16:25691959-26137685(+)	NM_006040	NP_006031	Q9Y661
51297627	mouse, laboratory	10090	Rps11	27207	MGI:1351329			Chr7 29.14 cM	Chr7:44771812-44773813(-)	NM_013725	NP_038753	P62281
51297627	human	9606	RPS11	6205		HGNC:10384	OMIM:180471	Chr19 q13.33	Chr19:49496365-49499708(+)	NM_001015	NP_001006	P62280
51297628	mouse, laboratory	10090	Tnfrsf9	21942	MGI:1101059			Chr4 81.52 cM	Chr4:151004612-151030561(+)	NM_001077508,XM_011250228,NM_011612,NM_001077509	NP_001070977,NP_001070976,XP_011248530,NP_035742	P20334
51297628	human	9606	TNFRSF9	3604		HGNC:11924	OMIM:602250	Chr1 p36.23	Chr1:7915871-7943165(-)	NM_001561	XP_054192391,XP_054192390,NP_001552,XP_047275628,XP_006710681	Q07011
51297629	mouse, laboratory	10090	Ticrr	77011	MGI:1924261			Chr7 45.09 cM	Chr7:79309944-79347896(+)	NM_029835	NP_084111	Q8BQ33
51297629	human	9606	TICRR	90381		HGNC:28704	OMIM:613298	Chr15 q26.1	Chr15:89575469-89631056(+)	NM_001308025,NM_152259	NP_001294954,NP_689472	Q7Z2Z1
51297630	mouse, laboratory	10090	Bsg	12215	MGI:88208			Chr10 39.72 cM	Chr10:79540325-79547803(+)	NM_009768,NM_001077184	NP_033898,NP_001070652	P18572
51297630	human	9606	BSG	682		HGNC:1116	OMIM:109480	Chr19 p13.3	Chr19:571277-583498(+)	NM_001322243,NM_001728,NM_198589,NM_198590,NM_198591	NP_001309172,NP_940991,NP_001719,NP_940992,NP_940993,XP_054177819	P35613
51297631	mouse, laboratory	10090	Rpl36a-ps1	100043787	MGI:3642585			Chr14 49.19 cM	Chr14:99231306-99231754(-)			
51297631	human	9606	RPL36A	6173		HGNC:10359	OMIM:300902	ChrX q22.1	ChrX:101390824-101396155(+)	NM_021029,NM_001199972,NM_021029,NM_001199972,NM_021029,NM_001199972	NP_066357,NP_066357,NP_066357	P83881,P83881,P83881
51297632	mouse, laboratory	10090	Gm6525	624713	MGI:3648757			Chr3 37.49 cM	Chr3:84081945-84082500(+)			
51297632	human	9606	RPL36AL	6166		HGNC:10346	OMIM:180469	Chr14 q21.3	Chr14:49618530-49620649(-)	NM_001001,NM_001001	NP_000992,NP_000992	Q969Q0,Q969Q0
51297633	mouse, laboratory	10090	Rpl36a	19982	MGI:1201789			ChrX 56.2 cM	ChrX:133486403-133488811(+)	NM_019865	NP_063918	P83882
51297633	human	9606	RPL36A	6173		HGNC:10359	OMIM:300902	ChrX q22.1	ChrX:101390824-101396155(+)	NM_021029,NM_001199972,NM_021029,NM_001199972,NM_021029,NM_001199972	NP_066357,NP_066357,NP_066357	P83881,P83881,P83881
51297634	mouse, laboratory	10090	Rpl36al	66483	MGI:1913733			Chr12 28.73 cM	Chr12:69229508-69230841(-)	NM_025589	NP_079865	
51297634	human	9606	RPL36A	6173		HGNC:10359	OMIM:300902	ChrX q22.1	ChrX:101390824-101396155(+)	NM_021029,NM_001199972,NM_021029,NM_001199972,NM_021029,NM_001199972	NP_066357,NP_066357,NP_066357	P83881,P83881,P83881
51297634	human	9606	RPL36AL	6166		HGNC:10346	OMIM:180469	Chr14 q21.3	Chr14:49618530-49620649(-)	NM_001001,NM_001001	NP_000992,NP_000992	Q969Q0,Q969Q0
51297635	mouse, laboratory	10090	Rpl6	19988	MGI:108057			Chr5 61.72 cM	Chr5:121342564-121347304(+)	NM_011290,NM_001421310	NP_001408239,NP_035420	P47911
51297635	human	9606	RPL6	6128		HGNC:10362	OMIM:603703	Chr12 q24.13	Chr12:112405170-112418844(-)	NM_001320141,NM_001320140,NM_001320139,NM_001320138,NM_001320137,NM_000970,NM_001024662,NM_001320142	NP_001307068,XP_047285258,XP_054228803,NP_000961,NP_001019833,NP_001307066,XP_047285260,XP_047285259,NP_001307071,NP_001307070,NP_001307069,NP_001307067,XP_054228804,XP_054228806,XP_054228805	Q02878
51297636	mouse, laboratory	10090	Hs6st1	50785	MGI:1354958			Chr1 15.15 cM	Chr1:36107481-36145527(+)	NM_015818	NP_056633	Q9QYK5
51297636	human	9606	HS6ST1	9394		HGNC:5201	OMIM:604846	Chr2 q14.3	Chr2:128236716-128318868(-)	NM_004807	NP_004798	O60243
51297637	mouse, laboratory	10090	Hs6st3	50787	MGI:1354960			Chr14 62.67 cM	Chr14:119375753-120107227(+)	XM_011245113,XM_036158750,NM_015820,XM_006519238	XP_006519301,XP_036014643,NP_056635,XP_011243415	Q9QYK4
51297637	human	9606	HS6ST3	266722		HGNC:19134	OMIM:609401	Chr13 q32.1	Chr13:96090107-96839562(+)	NM_153456	NP_703157	Q8IZP7
51297638	mouse, laboratory	10090	Kdsr	70750	MGI:1918000			Chr1 49.99 cM	Chr1:106648189-106687457(-)	XM_203753,NM_001316750	NP_001303679,NP_081810	Q6GV12
51297638	human	9606	KDSR	2531		HGNC:4021	OMIM:136440	Chr18 q21.33	Chr18:63327566-63367615(-)	NM_002035	NP_002026	Q06136
51297639	mouse, laboratory	10090	Vmn2r9	435864	MGI:3643093			Chr5 53.24 cM	Chr5:108990813-109000376(-)	NM_001385191,NM_001104621	NP_001372120,NP_001098091	
51297640	mouse, laboratory	10090	Vmn2r112	628185	MGI:3644292			Chr17 11.4 cM	Chr17:22820129-22838114(+)	NM_001104575	NP_001098045	
51297641	mouse, laboratory	10090	Vmn2r130	100042225	MGI:3761689			Chr17 11.5 cM	Chr17:23280341-23296399(+)	NM_001384262	NP_001371191	
51297642	mouse, laboratory	10090	Vmn2r54	666085	MGI:3704110			Chr7 7.57 cM	Chr7:12349160-12374167(-)	XM_036153360,XM_145364,NM_001384946,XM_358040	XP_036009253,NP_001371875	
51297643	mouse, laboratory	10090	Vmn2r8	627479	MGI:3642986			Chr5 53.24 cM	Chr5:108945059-108956620(-)	XM_017321057,NM_001104620,XM_036165404	XP_036021297,XP_017176546,NP_001098090	
51297644	mouse, laboratory	10090	Vmn2r55	100042499	MGI:3757950			Chr7 7.59 cM	Chr7:12385633-12422855(-)	NM_001104645,XM_036152486,NM_001374650	XP_036008379,NP_001098115,NP_001361579	
51297645	mouse, laboratory	10090	Vmn2r86	625109	MGI:3649066			Chr10 77.92 cM	Chr10:130282068-130291763(-)	NM_001103365	NP_001096835	
51297646	mouse, laboratory	10090	Vmn2r53	637908	MGI:3644480			Chr7 7.56 cM	Chr7:12315397-12342583(-)	XM_036153322,NM_001104644	XP_036009215,NP_001098114	
51297647	mouse, laboratory	10090	Vmn2r113	434701	MGI:3648972			Chr17 11.44 cM	Chr17:23162158-23177788(+)	NM_001104578	NP_001098048	
51297648	mouse, laboratory	10090	Vmn2r85	623734	MGI:3646965			Chr10 77.9 cM	Chr10:130253658-130266615(-)	NM_001102602,XM_036155908,XM_036155907	XP_036011800,NP_001096072,XP_036011801	
51297649	mouse, laboratory	10090	Gm14496	672125	MGI:3769929			Chr2 103.9 cM	Chr2:181633019-181642880(+)	XM_017319216,XM_030251981,XM_001473506,XM_030251979,NM_001205282,XM_030251980,XM_036162507,XM_017319217	XP_030107841,NP_001192211,XP_030107839,XP_036018400,XP_017174705,XP_017174706,XP_030107840	
51297650	mouse, laboratory	10090	Vmn2r12	627569	MGI:3761377			Chr5 53.24 cM	Chr5:109233715-109245730(-)	NM_001385229,NM_001104623,XM_017321059	NP_001372158,XP_017176548,NP_001098093	
51297651	mouse, laboratory	10090	Vmn2r116	619697	MGI:3646674			Chr17 11.56 cM	Chr17:23603777-23620838(+)	NM_001104580	NP_001098050	E9Q6I0
51297652	mouse, laboratory	10090	Vmn2r11	384219	MGI:3643806			Chr5 53.24 cM	Chr5:109194739-109207318(-)	XM_017320958,XM_036165257,NM_001385168,XM_017320959	NP_001372097,XP_017176448,XP_017176447,XP_036021150	
51297653	mouse, laboratory	10090	Vmn2r84	625068	MGI:3643367			Chr10 77.88 cM	Chr10:130221669-130230110(-)	NM_001081448	NP_001074917	
51297654	mouse, laboratory	10090	Vmn2r17	384221	MGI:3647193			Chr5 53.24 cM	Chr5:109567879-109601253(+)	XM_030254650,XM_030254648,NM_001104628,NM_001385190,XM_030254647,XM_036165259	NP_001372119,XP_030110508,XP_030110507,XP_030110510,XP_036021152,NP_001098098	
51297655	mouse, laboratory	10090	Vmn2r16	384220	MGI:3647194			Chr5 53.24 cM	Chr5:109478247-109512347(+)	XM_030254643,NM_001385189,XM_030254646,XM_036165258	XP_030110506,XP_030110503,XP_036021151,NP_001372118	
51297656	mouse, laboratory	10090	Vmn2r118	383258	MGI:3761695			Chr17 28.9 cM	Chr17:55899341-55931672(-)	NM_001104582,NM_001385216	NP_001372145	
51297657	mouse, laboratory	10090	Vmn2r87	625131	MGI:3645796			Chr10 77.93 cM	Chr10:130307690-130333248(-)	NM_001103366	NP_001096836	
51297658	mouse, laboratory	10090	Vmn2r115	638102	MGI:3647235			Chr17 11.56 cM	Chr17:23562951-23579102(+)	NM_001104579	NP_001098049	
51297659	mouse, laboratory	10090	Vmn2r121	100038941	MGI:3643045			ChrX 49.81 cM	ChrX:123037036-123045607(-)	XM_017318330,NM_001100616,XM_036161743,XM_017318329	XP_017173818,NP_001094086,XP_036017636,XP_017173819	
51297660	mouse, laboratory	10090	Vmn2r56	629079	MGI:3695438			Chr7 7.6 cM	Chr7:12427787-12468785(-)	XM_011250669,NM_001104648,XM_036153321	NP_001098118,XP_036009214,XP_011248971	
51297661	mouse, laboratory	10090	Vmn2r14	231591	MGI:3649151			Chr5 53.24 cM	Chr5:109362822-109372488(-)	XM_030254415,NM_001104625,NM_001384975,XM_017320862,XM_017320861,XM_030254417,XM_036165084,XM_017320860	XP_036020977,NP_001371904,NP_001098095,XP_017176349,XP_030110275,XP_030110277,XP_017176351,XP_017176350	
