Gene	Location	Control RNA mean	R495X RNA mean	P-value	log2FoldChange
Grm3	chr5:9485235-9725351:-1	157.0	96.0	0.004359319	-0.533
Lypd1	chr1:127768618-127808790:-1	167.6	108.1	0.004586733	-0.498
Cadm1	chr9:47338434-47661467:1	238.7	161.0	0.004682647	-0.467
Nova1	chr12:47795503-47919761:-1	553.3	392.6	0.00472875	-0.425
Mtap4	chr9:109834277-109986450:1	775.6	605.9	0.005281141	-0.328
Marcks	chr10:36853048-36858731:-1	1025.7	795.4	0.006110721	-0.335
Unc13c	chr9:73327230-73781373:-1	82.6	41.9	6.52E-03	-0.576
Napb	chr2:148520392-148558155:-1	270.2	188.8	0.006754242	-0.433
Inpp5f	chr7:135754878-135839949:1	704.9	539.9	0.006776913	-0.347
Gpc5	chr14:115491436-116924413:1	30.2	10.4	0.00692069	-0.561
C1qtnf3	chr15:10882086-10909916:1	18.4	4.2	0.007253236	-0.503
Tcp1	chr17:13109330-13117932:1	260.7	186.1	0.007520313	-0.413
Fam117b	chr1:59969849-60042189:1	684.1	534.4	0.00773291	-0.325
Hsdl1	chr8:122085877-122099099:-1	398.8	298.7	0.007814725	-0.367
Sms	chrX:153881885-153929977:-1	129.9	80.3	0.00784697	-0.509
Snx30	chr4:59818521-59917611:1	430.4	325.1	0.007848636	-0.360
Cacna2d3	chr14:29718128-30535049:-1	26.6	8.4	7.89E-03	-0.549
AK076583	chr2:32088301-32091901:-1	189.2	128.6	0.007924661	-0.450
Hnrnpa0	chr13:58227239-58229916:-1	574.3	445.5	0.008511338	-0.332
Hint1	chr11:54679939-54683997:1	186.9	122.2	0.008557597	-0.475
Dner	chr1:84366413-84692795:-1	531.1	411.7	0.009532668	-0.332
Ptchd1	chrX:152004278-152057869:-1	113.2	70.2	0.009601325	-0.500
Strbp	chr2:37338750-37558867:-1	1264.4	1004.7	0.009848681	-0.305
Slc1a2	chr2:102498839-102630940:1	924.6	721.6	0.009864152	-0.324
B4galt6	chr18:20843099-20904904:-1	235.8	160.7	0.009910414	-0.444
B3galt6	chr4:155363574-155366786:-1	67.4	36.0	0.010046843	-0.543
Trib2	chr12:15798532-15823590:-1	988.7	796.2	0.010081053	-0.289
Emid2	chr5:137217633-137358976:-1	73.1	40.0	0.010379622	-0.537
Ybx1	chr4:118949931-118967117:-1	683.9	533.7	0.010621039	-0.324
Ndrg1	chr15:66760879-66801202:-1	46.3	21.3	0.010682571	-0.550
Ahnak	chr19:9063773-9151408:1	189.0	130.3	0.011143275	-0.432
Lmo4	chr3:143851493-143868218:-1	129.7	83.2	0.011259814	-0.476
Pik3r1	chr13:102450717-102538171:-1	564.8	425.7	0.01141305	-0.358
Sub1	chr15:11911093-11925761:-1	135.5	86.7	0.011469276	-0.478
Gpr39	chr1:127573572-127770437:1	123.2	78.6	0.011618211	-0.478
Scg2	chr1:79431243-79436664:-1	273.2	199.8	0.011627196	-0.385
Sec23a	chr12:60059370-60113003:-1	127.9	80.3	0.011807839	-0.486
Pak3	chrX:139953133-140232338:1	475.6	356.3	0.011837459	-0.363
Grm8A	chr6:27884376-28085132:-1	41.3	18.8	1.23E-02	-0.540
Tbc1d9	chr8:85689250-85796838:1	528.9	414.7	0.012372556	-0.317
Fdft1	chr14:63763987-63798414:-1	257.1	185.3	0.01242959	-0.397
Akap9	chr5:3928053-4080203:1	1721.0	1403.8	0.012434684	-0.274
Cbln4	chr2:171861835-171868965:-1	36.7	15.7	0.012473478	-0.538
March6	chr15:31385653-31460791:-1	744.1	576.2	0.012599852	-0.331
2410066E13Rik	chr6:54631765-54650399:1	135.9	89.6	0.012687987	-0.456
Myo5a	chr9:74919012-75071493:1	890.5	714.6	0.01312842	-0.292
Cct6a	chr5:130293260-130322230:1	163.3	110.7	0.01329834	-0.439
Kif3a	chr11:53380880-53417745:1	373.2	284.5	0.013487796	-0.345
Kif3c	chr12:3365131-3406493:1	1288.8	1063.2	0.013639031	-0.260
Ap2a2	chr7:148748078-148818909:1	512.5	393.9	0.013990676	-0.336
Zscan18	chr7:13353440-13361006:-1	144.9	96.8	0.014368263	-0.445
Pde1c	chr6:56019797-56319627:-1	32.8	13.0	0.014405221	-0.519
Pspc1	chr14:57341285-57397152:-1	131.3	86.0	0.01457029	-0.457
Cxadr	chr16:78301935-78360029:1	804.9	614.2	0.014582543	-0.343
AF217545	chr6:30754783-30757551:1	1836.9	1477.2	0.014672863	-0.289
Spast	chr17:74738326-74790452:1	374.6	280.9	0.014863995	-0.360
Hsp90aa1	chr12:111929245-111934604:-1	526.4	410.1	0.014949052	-0.322
AK138135	chr10:72562089-73179342:1	48.0	23.9	0.01513104	-0.523
Pitpnc1	chr11:107069205-107332033:-1	332.6	251.4	0.015512097	-0.351
Nbea	chr3:55429119-55987622:-1	1044.3	843.0	0.015920475	-0.284
Ifrd1	chr12:40929715-40949775:-1	41.4	18.6	0.016073019	-0.517
C030034L19Rik	chr3:9403077-9437232:1	271.2	201.4	0.016270791	-0.367
Hs6st3	chr14:119537486-120269036:1	109.5	68.7	1.66E-02	-0.472
Hdgfrp3	chr7:89026141-89079344:-1	826.4	659.6	0.017160094	-0.296
av	chr10:72562089-74107471:1	56.7	30.1	0.017575575	-0.509
Wsb2	chr5:117807313-117828597:1	372.4	276.8	0.017625724	-0.364
Sirpa	chr2:129418574-129457963:1	350.8	268.6	0.017822683	-0.337
Prrc2b	chr2:32006667-32090056:1	2510.8	2126.7	0.018542756	-0.227
Trpm3	chr19:22213606-23064373:1	38.2	17.6	0.018765856	-0.505
Rasgrf2	chr13:92020011-92901448:-1	53.6	28.6	0.019001985	-0.503
Nrcam	chr12:45429871-45702832:1	545.7	428.9	0.019009427	-0.311
Fblim1	chr4:141131976-141161966:-1	105.5	67.7	0.019168596	-0.452
Ywhah	chr5:33361464-33370614:1	435.7	339.8	0.019878789	-0.318
M-rdgB beta	chr11:107069205-107332033:-1	270.8	201.1	0.020050955	-0.363
Pebp1	chr5:117732659-117737572:-1	237.0	173.4	0.020259697	-0.373
AK139280	chr17:91484797-91492110:-1	633.4	510.3	0.020400896	-0.284
Foxp2	chr6:14851348-15391976:1	38.3	17.8	0.020500476	-0.496
Hspa4	chr11:53073315-53113980:-1	361.8	277.7	0.020801383	-0.333
Vstm2b	chr7:48154647-48185337:1	62.7	35.4	2.08E-02	-0.490
Dtd1	chr2:144425688-144594482:1	43.4	21.3	0.020897811	-0.498
Gmps	chr3:63780064-63822999:1	125.6	83.8	0.021008946	-0.434
Clstn2	chr9:97344813-97933585:-1	142.5	97.8	0.021323134	-0.418
Akap5	chr12:77425877-77435137:1	131.7	88.7	0.021714345	-0.426
Pid1	chr1:84032867-84281219:-1	235.0	173.3	0.022028848	-0.367
Macrod2	chr2:140221165-142215785:1	43.9	21.9	0.022050151	-0.494
Etnk1	chr6:143115749-143157065:1	883.1	699.3	0.02228972	-0.302
Nup205	chr6:35127615-35197597:1	91.8	58.3	0.022416878	-0.452
Opcml	chr9:27598853-28732632:1	193.4	139.5	0.022832938	-0.383
Dnahc9	chr11:65644825-65982052:-1	54.6	29.3	0.023252973	-0.488
Dbndd1	chr8:126028617-126039354:-1	136.8	93.4	0.023931053	-0.417
Psmd8	chr7:29959205-29965691:-1	170.3	117.9	0.024019949	-0.408
Eda	chrX:97170927-97596098:1	32.2	13.9	0.024165075	-0.474
Set	chr2:29917562-29927313:1	133.3	91.2	0.024196538	-0.415
Oxct1	chr15:3976427-4105343:1	256.2	191.2	0.024222556	-0.356
Farp1	chr14:121434795-121682947:1	197.7	143.7	0.024259358	-0.376
AK209647	chrX:155824148-155827543:1	86.3	53.6	0.02429138	-0.458
Glp2r	chr11:67475003-67584654:-1	24.5	9.4	0.024335431	-0.454
Bnip3l	chr14:67604076-67627713:-1	82.2	51.4	0.02439337	-0.451
Khdrbs2	chr1:32229650-32714582:1	61.2	34.4	0.024589978	-0.480
Nkap	chrX:34666757-34690740:1	93.6	58.8	0.025034279	-0.452
Thsd7b	chr1:131169880-132115854:1	56.4	29.8	0.025218347	-0.482
Kifap3	chr1:165709809-165847230:1	331.4	250.6	0.025318099	-0.343
Cpne4	chr9:104449615-104936873:1	18.4	5.8	0.02536911	-0.422
Pten	chr19:32832066-32900649:1	406.9	317.4	0.025427885	-0.315
Cntnap5a	chr1:117581713-118477250:1	65.8	37.6	0.025639257	-0.475
Pdzd4	chrX:71038695-71070307:-1	843.2	688.1	0.026103685	-0.268
Msh6	chr17:88374389-88390231:1	155.3	108.0	0.026182069	-0.402
KIAA1199 homolog	chr7:91098975-91124584:-1	10.1	1.6	0.026295313	-0.337
Grik2	chr10:48819268-49508559:-1	180.5	128.2	0.026554052	-0.390
Rcan3	chr4:134968223-134989719:-1	307.0	232.8	0.026861832	-0.340
Pdcd5	chr7:36427003-36432500:-1	7.7	0.5	0.026893956	-0.301
Whsc1	chr5:34163392-34240614:1	887.4	705.6	0.027132973	-0.295
Phb	chr11:95528270-95542086:1	67.8	40.5	0.027418197	-0.460
Pcdhb4	chr18:37467108-37470826:1	94.9	61.1	0.027571572	-0.437
Adcy8	chr15:64530596-64753857:-1	232.4	174.2	0.027612264	-0.349
Sbk1	chr7:133416132-133438512:1	3026.7	2461.0	0.027677009	-0.272
Plcxd2	chr16:45959373-46010525:-1	252.4	188.4	0.027752095	-0.352
NrCAM	chr12:45557611-45702832:1	461.5	361.4	0.027777748	-0.311
C77370	chrX:101272774-101396455:-1	556.7	435.5	0.02780106	-0.311
Etl4	chr2:19831406-20732161:1	32.7	15.1	0.027824785	-0.468
Tcfap2b	chr1:19198994-19228814:1	355.4	278.2	0.027854608	-0.310
Ap1ar	chr3:127510182-127540409:-1	145.3	101.1	0.028084057	-0.402
AK083149	chrX:20497539-20520362:1	32.7	15.0	0.028364184	-0.466
Maged2	chrX:147240963-147248881:-1	199.2	146.7	0.028492497	-0.362
Col8a1	chr16:57624368-57754849:-1	8.1	1.1	0.028495169	-0.284
Sfpq	chr4:126698544-126708479:1	609.5	488.3	0.028819168	-0.287
Csda	chr6:131314875-131338467:-1	71.4	43.1	0.029516806	-0.456
Dscaml1	chr9:45234710-45561795:1	168.6	121.3	0.029911426	-0.379
Chst2	chr9:95301344-95307688:-1	207.7	153.7	0.030032317	-0.357
Ppifos	chr14:26515841-26520767:-1	28.6	12.4	0.030130043	-0.457
Pax2	chr19:44831883-44910516:1	32.6	15.0	0.030300392	-0.461
Trhde	chr10:113835876-114238425:-1	42.0	21.4	0.030600822	-0.465
Nf2	chr11:4665850-4749529:-1	350.5	274.4	0.030830464	-0.308
Macf1	chr4:123026875-123361602:-1	2687.0	2271.1	0.031108973	-0.227
Rabep1	chr11:70658264-70756606:1	343.1	267.7	0.031146497	-0.312
Kbtbd11	chr8:15011024-15033331:1	306.7	236.9	0.031465464	-0.320
Tuba1a	chr15:98780277-98783931:-1	3680.4	3124.0	0.031600173	-0.222
Nans	chr4:46502200-46516309:1	69.8	42.7	0.031697228	-0.445
Cd24a	chr10:43298974-43304070:1	1279.6	1066.5	0.031738751	-0.243
Herc1	chr9:66198256-66356581:1	1275.7	1054.4	0.031763779	-0.253
Flnb	chr14:8650470-8784100:1	188.3	133.5	0.031817196	-0.386
Shc3	chr13:51526410-51662452:-1	33.7	16.1	0.032020386	-0.459
Fsd1	chr17:56125933-56136303:1	70.4	43.2	0.032021744	-0.445
Mtmr9	chr14:64142446-64162789:-1	169.4	121.9	0.032097908	-0.376
Rnf14	chr18:38456288-38477502:1	323.2	251.6	0.032123497	-0.313
Fat4	chr3:38785861-38910904:1	4796.2	4148.3	0.032135167	-0.199
Cirbp	chr10:79630585-79634397:1	198.0	145.7	0.032495573	-0.361
Dgkb	chr12:38606760-39359996:1	22.5	8.8	0.032936005	-0.428
Guk1	chr11:58997356-59005453:-1	36.2	17.7	0.033036473	-0.457
Tubb2b	chr13:34218876-34222222:-1	3121.6	2673.8	0.033374343	-0.211
8430419L09Rik	chr6:135148004-135186257:1	344.6	271.0	0.033375747	-0.303
Mest	chr6:30683505-30698456:1	359.2	281.2	0.033689517	-0.307
Coq7	chr7:125668575-125676826:-1	16.3	4.7	0.033760575	-0.407
Ckb	chr12:112907565-112910548:-1	493.0	386.1	0.033879313	-0.307
Zcchc12	chrX:33735898-33739152:1	270.9	204.6	0.03402938	-0.339
Grem1	chr2:113588831-113598804:-1	26.1	11.0	0.034035603	-0.438
Tmsb4x	chrX:163645025-163647149:-1	405.7	320.2	0.034153452	-0.300
2610101N10Rik	chr9:95357312-95412414:-1	117.1	77.2	0.034227767	-0.419
AK015544	chr1:129380580-129383813:1	320.5	251.2	0.034567435	-0.305
Fam168b	chr1:34870062-34899894:-1	1138.0	960.2	0.035105004	-0.228
Ubc	chr5:125866334-125870386:-1	1616.9	1350.3	0.035134835	-0.240
Dcx	chrX:140290384-140367761:-1	2476.2	2047.6	0.035271759	-0.251
Erc1	chr6:119520813-119798167:-1	670.5	553.7	0.035306715	-0.253
Dcaf7	chr11:105898185-105920636:1	1952.6	1665.2	0.035327299	-0.216
Gm10493	chr17:90854060-90855548:1	193.0	143.5	0.035463742	-0.350
Cct7	chr6:85401498-85418470:1	195.6	142.4	0.035951136	-0.365
Mllt3	chr4:87415828-87679310:-1	287.5	221.4	0.036629876	-0.321
Pdgfb	chr15:79826305-79845237:-1	14.3	4.1	0.036789711	-0.367
Slc24a2	chr4:86629029-86876443:-1	101.8	67.6	0.036983455	-0.413
Ptrf	chr11:100818050-100831930:-1	12.3	2.6	0.037100648	-0.345
Tsnax	chr8:127536896-127558091:1	292.7	228.3	0.037107134	-0.309
Hecw1	chr13:14318704-14615492:-1	539.0	430.7	0.037590865	-0.287
Cdh7	chr1:111878903-112035577:1	32.7	14.6	0.037789316	-0.433
Azin1	chr15:38417184-38449020:-1	303.2	231.7	0.038187935	-0.327
Mmd	chr11:90048996-90139886:1	118.9	82.6	0.038477412	-0.388
Uqcrfs1	chr13:30632180-30637184:-1	140.0	99.4	0.03851692	-0.377
Xrn2	chr2:146838795-146903732:1	43.4	22.9	0.038646484	-0.446
Prrg1	chrX:75694951-75829234:-1	14.3	4.2	0.038878615	-0.374
Rhov	chr2:119094936-119096961:-1	70.5	43.6	0.038902518	-0.432
Syt6	chr3:103379203-103449489:1	74.5	46.0	0.039192398	-0.427
Opa1	chr16:29579419-29654687:1	215.8	162.9	0.039352035	-0.336
Zfp558	chr9:18258497-18278002:-1	77.8	49.0	0.039493246	-0.426
Rev3l	chr10:39451965-39595010:1	1105.5	918.2	0.039589688	-0.246
Nucks1	chr1:133807034-133832897:1	519.7	418.6	0.039771907	-0.278
Dbnl	chr11:5688485-5700982:1	124.2	83.5	0.039881205	-0.405
Chmp4b	chr2:154477477-154520518:1	125.6	88.4	0.039927784	-0.382
Rbbp7	chrX:159198303-159217021:1	91.3	60.0	0.039993932	-0.411
9330159F19Rik	chr10:28931448-28950584:1	518.7	420.6	0.040147539	-0.271
Chchd1	chr14:21522248-21523646:1	22.0	8.8	0.040443091	-0.416
Pkm2	chr9:59504414-59527181:1	578.5	467.4	0.040920086	-0.274
Ddb2	chr2:91051738-91077222:-1	47.4	26.6	0.041070828	-0.440
Efr3b	chr12:3962553-4038914:-1	544.1	443.1	0.04109182	-0.266
Serbp1	chr6:67216972-67239295:1	394.5	311.3	0.041149441	-0.297
Tomm70a	chr16:57121826-57154642:1	255.9	198.3	0.041238759	-0.313
Cdc42	chr4:136875610-136913651:-1	369.6	293.0	0.041251534	-0.293
Pcsk6	chr7:73007021-73195271:1	39.7	20.8	0.041524612	-0.438
Gm12612	chr4:122960153-122976075:1	65.2	39.9	0.041792277	-0.428
Phr1	chr14:103710911-103746016:-1	143.4	102.4	0.042040496	-0.372
Rrs1	chr1:9535488-9537535:1	59.1	35.9	0.042059342	-0.428
Ppid	chr3:79395310-79407571:1	52.6	30.7	0.042111597	-0.435
Cisd1	chr10:70793241-70807596:-1	55.8	32.7	0.042326589	-0.433
Slc35f1	chr10:52410306-52831427:1	203.3	151.2	0.04245597	-0.346
Mal2	chr15:54402920-54434400:1	16.4	5.2	0.043069589	-0.388
Rpl8	chr15:76734500-76736747:1	384.8	305.2	0.043084804	-0.292
Acot7	chr4:151552208-151645963:1	135.7	97.4	0.043103501	-0.368
Gfpt1	chr6:86992839-87042200:1	215.5	164.1	0.043186457	-0.326
Atp9a	chr2:168459937-168567630:-1	604.1	486.9	0.043286174	-0.276
Ppp3ca	chr3:136333733-136598742:1	116.1	79.8	0.043515339	-0.391
Cd1d2	chr3:86799757-86803261:-1	30.1	14.5	0.043613605	-0.427
Hnrnpd	chr5:100384954-100407956:-1	219.6	159.8	0.043811929	-0.359
Fstl5	chr3:75878519-76513926:1	169.1	124.1	0.04409768	-0.354
Cobl	chr11:12136678-12364962:-1	113.8	77.8	0.044099725	-0.392
Psmb5	chr14:55232956-55236831:-1	54.3	31.2	0.044301636	-0.431
Vdac1	chr11:52174616-52202897:1	306.5	241.0	0.044969882	-0.298
1500015O10Rik	chr1:43787446-43799408:1	6.6	0.5	0.045218769	-0.248
Cnpy2	chr10:127759514-127764242:1	19.9	7.8	0.045343622	-0.394
Rpsa	chr9:120036883-120041486:1	394.8	311.0	0.045542844	-0.297
Hs2st1	chr3:144094070-144233179:-1	205.4	153.9	0.045685547	-0.338
Pja1	chrX:96661072-96666073:-1	539.3	443.1	0.045792026	-0.255
Rgs4	chr1:171671607-171677772:-1	52.6	30.0	0.045808929	-0.429
Clk4	chr11:51076672-51095265:1	103.0	70.8	0.04584297	-0.386
Plxdc2	chr2:16277948-16673741:1	54.1	32.2	0.045867459	-0.426
Bod1l	chr5:42178777-42235553:-1	617.5	507.9	0.045881668	-0.255
Galntl6	chr8:60255019-61390423:-1	22.1	8.9	0.045913336	-0.394
Rufy3	chr5:88994064-89080414:1	548.8	452.0	0.046023093	-0.253
Pitpnm3	chr11:71861029-71949390:-1	77.1	50.0	0.046766972	-0.408
Paqr11	chr11:90048996-90112569:1	21.4	8.3	0.046774015	-0.397
Tmem29	chrX:146832315-146893692:-1	54.2	32.3	0.047645831	-0.423
Wdfy1	chr1:79698836-79758343:-1	242.2	187.4	0.047657301	-0.312
Htr2a	chr14:75040646-75106665:1	42.9	24.0	0.047673807	-0.427
Cdk5r1	chr11:80290547-80294680:1	1062.4	903.8	0.047826384	-0.217
Sulf2	chr2:165898588-165981155:-1	265.0	207.4	0.048507288	-0.302
BC024659	chr13:41345212-41371945:1	215.0	164.0	0.048540893	-0.323
Lrrc7	chr3:157747402-158225184:-1	209.2	159.3	0.048788205	-0.324
Tpd52l1	chr10:31052185-31165726:-1	11.2	2.6	0.048917392	-0.318
St8sia4	chr1:97484258-97564170:-1	170.4	124.5	0.048954643	-0.353
AK139634	chr8:101651269-101672088:1	31.1	15.0	0.049271381	-0.413
Srrm4	chr5:116889281-117041825:-1	352.4	281.6	0.049747434	-0.283
Crebzf	chr7:97591290-97596228:1	330.0	264.2	0.049935464	-0.280
